         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 internalformat_query.py:23(<module>)
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:57(<module>)
       14    0.001    0.000    0.001    0.000 {built-in method listdir}
      324    0.000    0.000    0.001    0.000 random.py:210(randint)
        1    0.000    0.000    0.001    0.001 debug.py:1(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:53(<module>)
        1    0.001    0.001    0.001    0.001 base_instance.py:29(<module>)
        1    0.001    0.001    0.001    0.001 transform_feedback3.py:59(<module>)
        1    0.001    0.001    0.001    0.001 vertex_array_object.py:22(<module>)
        1    0.000    0.000    0.001    0.001 texture_multisample.py:1(<module>)
        1    0.000    0.000    0.001    0.001 GL_2_1.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
        2    0.000    0.000    0.001    0.001 util.py:47(find_library)
        1    0.001    0.001    0.001    0.001 copy_buffer.py:16(<module>)
        1    0.001    0.001    0.001    0.001 compressed_texture_pixel_storage.py:33(<module>)
     1366    0.001    0.000    0.001    0.000 {built-in method POINTER}
     1280    0.001    0.000    0.001    0.000 nones.py:21(from_param)
     1230    0.001    0.000    0.001    0.000 baseplatform.py:125(finalArgType)
        1    0.001    0.001    0.001    0.001 shader_storage_buffer_object.py:48(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
